SKU;COGS
00c8b2e7-dd9a-4694-ac40-4f31037616b9;213333,3333
a0a9e370-3be0-4024-8687-e821f4e49001;116166,6667
88dbce98-7f8b-4751-ba5b-7c6ce263ffa6;88833,33333
03e1510c-d92a-45eb-94dd-8465b7c9b6ee;8533,333333
d0f52c70-b00d-4ea6-80c1-02c739aa6094;8100
348345fb-c965-458d-bbcc-47dad99ec8d4;7911,714167
30b46aba-9122-409f-ba66-ab9763fba828;6933,333333
b15abd0f-0d4f-4be4-ba4e-87428524576a;6829,5
ce1fb2d9-405f-4d99-a464-3dd061ba9829;6750
af27b904-a6bf-4891-8175-c22d71da708d;6750
7702d29d-4710-46b9-a59f-1f1be39586af;6572,85
d47e69cd-48c1-485d-bbd5-7fc4b919e04d;6510
91f1335b-6b34-4e49-8b0a-6a372649a19e;6075
e9799e00-42a1-47ab-8480-da465060875e;5737,5
5c7e902d-bcc7-4763-aeb9-91e5820eabfb;5400
2349ad0e-70e4-4013-b9a7-46b4c7c991a2;5250
cf354883-dbc8-4616-8047-f214788ff729;4798,8
1c63006c-f485-49fe-a980-e964e8405987;4575,45
eedf5e44-795d-42ab-b54e-4879e8c66b67;4300
76db88fe-35eb-4565-b510-9631abeaed3e;4264,166667
de67c2c8-2c50-4792-b7cf-ca4cffaa9207;4169,2
c76fdc18-899e-44ff-b486-28ebbbaced20;4159,5
21d7acb9-02dc-4cb7-b75e-2c6edd55e411;4133,333333
2dad6056-06e9-408d-8102-308a76b80a39;3963,333333
7eac9607-5081-4c75-b979-e2c28a955794;3645
dc2a2886-5a89-479e-b955-4bf5f6fd2b33;3577,5
73178709-3b3d-48a1-875a-a9e5dc02cc71;3296,666667
332f2f4f-8239-463e-91ab-4e244a55d410;3100
2a8a6bbb-7162-4679-a853-530034134e27;3053
f2e20cb1-a9b3-4362-b63d-3296cabc6b2f;3053
4c40c798-6fc4-4ec2-8ba6-6e330e88cd5b;3037,5
3edd1ee6-dc30-49a3-9b87-7228b2efee67;3037,5
ce3a6ec2-c526-4fec-aa54-4c27b6038788;2981,333333
70e8c6d2-d486-4a1e-9209-9846e601f7c5;2927,776667
