Period;Stock;SKU
2023-01;7578;cc490ca8-11e3-4608-95d9-5e90c3deee5f
2023-01;3220;1b96daf4-989f-49b8-a1bd-a6f4bcdc45df
2023-01;5080;c09205b9-eb96-4ab5-ad76-fcb361730011
2023-01;3132;227c4431-0b37-42c3-b7f3-3ff6cef530eb
2023-01;11868;d0e54b78-96f1-43e6-870d-9ec85bd78127
2023-01;1200;95d576b4-a611-48c5-8859-3e11e57125fa
2023-01;25444;5933cf12-cd9f-4ba6-ae81-306a333ffc61
2023-01;26094;23c901ad-bfa4-446e-a088-b27fa2749942
2023-01;13710;22bd6d57-97bf-4a2e-9887-8b2882f02143
2023-01;13716;2d6fe02d-042a-416a-a255-90fce7da4639
2023-01;6500;432a4342-0a55-4de6-9f8b-00dd0374c2d8
2023-01;6640;7a0f0e7e-7a99-4085-9c5c-d67add24dd9f
2023-01;8384;f8484c54-d6d5-46f1-b515-490b3afd2795
2023-01;1580;ff71cdbd-2f77-4592-af67-47bb6db7048a
2023-01;5738;bfda2d6b-45d0-437c-a845-02c593dbe139
2023-01;207142;537fa0f5-6d67-42f2-99a0-2005422701cc
2023-01;14394;4fef0b36-4da2-4ad8-b5f0-dd007d7b2c33
2023-01;5638;24d38f0a-d9f5-4326-911b-b7d99f30e401
2023-01;12968;d59f32d0-f704-40ad-9261-9da490e4116b
2023-01;153786;5e59e533-eb33-429a-a332-66799bc6d1cf
2023-01;2956;70739a57-e5e2-4cb7-83ef-061e962e2b48
2023-01;11640;a4eadc9a-a327-4ab5-a960-6b135e47ca78
2023-01;12118;a554be9f-0e6e-4a5d-91a1-344235896128
2023-01;75940;a9990dbb-f1ce-47ed-afa2-e86098cf9bf3
2023-01;78172;1cc798bd-3a42-4517-b5e9-2ba59272dcd8
2023-01;19798;8452c35a-e14c-4565-849a-b73b4b15c98a
2023-01;9756;995610af-c83c-40ec-ae62-7d2434866017
2023-01;12364;983379ee-326b-43a7-ae80-f44fb3c6ad4f
2023-01;2760;619a1f88-25f1-42ca-aea8-4778e75aa4fb
2023-01;3166;ba366a3d-6e3f-410e-b4ee-e9ef3392a111
2023-01;3172;7d860000-919a-4ff7-9860-c391a10b221d
2023-01;1372;fffb9b44-35bb-47dc-8314-483d9036fd82
2023-01;1686;7e4bc947-7a5f-421d-a5d2-42ed3fbbea96
2023-01;6192;41436870-55d5-4d05-b4c0-b6041267c0c4
2023-01;6600;59bab51e-a127-453f-9236-0332b1c2f00e
2023-01;10200;74382eca-77ca-4397-a00c-95225aa5713e
2023-01;14800;89ae7d7f-9d29-442e-8742-f58f27cd9176
2023-01;4468;1ece53ae-c3d5-49a6-951e-5e7c0ec731f0
2023-01;6000;5c79dbc9-8942-4224-aa28-63e97e5ca058
2023-01;6600;1e61743f-2730-4ec6-9e42-15b355e28c91
2023-01;6600;84a04dd7-3191-4f42-9622-f8e8de29745b
2023-01;6600;f0b0b9f1-cfbd-46b3-b693-1436d21146d2
2023-01;64956;b4a0a55e-be4a-4da7-9d97-5affa8720484
2023-01;18864;af5b9d9c-0f42-437e-a9a8-cfbbe6326498
2023-01;4000;a12e0fb7-b333-4501-981f-031656a1e818
