SKU;COGS
39907e40-92d3-4170-aebe-4c7f3ff3d1e1;896000
8c3f09b6-e170-42a8-aea3-500d3e7c7e33;487900
32f84259-b725-4632-a459-60582a6dc184;373100
bcf880f9-0a0f-436e-82cc-3988d553ca18;35840
1267a47d-64ac-4a75-9753-47cdc76c2207;34020
bc43683d-fb61-41b8-88e0-deaa945ec452;33229,1995
3dab444c-8697-4008-ad9c-97fc5f3f93cd;29120
3160e9a3-227e-43c0-a683-a2f591f1ee92;28683,9
d681a4f1-b667-47eb-89ff-24436e598b48;28350
ee39138c-5f04-44b0-8f22-3288ba2ebdf7;28350
7fa6dfd5-e853-460d-9979-a5a47b98d9cd;27605,97
2478f18f-dd62-40c4-9e18-231d167c02b4;27342
8c1b7594-e7c0-4dd0-90e7-b70985f78113;25515
2cc7951f-b7b8-4f92-a8d9-f263d0f57a9c;24097,5
d82c60d0-145c-4ac6-8733-f7700c9aa6e9;22680
d0983782-3f7b-4e12-91a9-f0de07cd0c54;22050
0f4d192e-cf87-4af8-ae46-5e7dabd3b3e8;20154,96
7a52d472-5da6-4889-8a30-7e96cdb136ba;19216,89
4dcfd0ff-cd9a-497d-aba5-a1064746973f;18060
03c62c37-0fb6-44d1-b02e-47cfb190dd95;17909,5
82c161ad-8916-4f8a-a1a8-53627b5424fb;17510,64
2a68278d-ca3e-413b-82c7-68676f87a517;17469,9
98bebbae-e3ef-413e-b955-e035a5ae021d;17360
32b96b1f-62aa-4317-a479-5fb7a6e8ee7e;16646
3dc085f5-54fc-4070-93f9-39127a0e20f6;15309
a926fabc-1391-47a1-a5c8-13c3cd6d12b0;15025,5
9dc1d46f-9ae6-4f90-9038-58393e6619c0;13846
2c8652f4-2119-46f5-b1fb-1d981a18c17e;13020
23d78c3b-c08d-40e1-9ece-f21ec591f687;12822,6
2fc9a333-50cb-46b2-a96d-1fe4af0fae87;12822,6
24f24fd7-c206-4654-a4cd-a33474a95650;12757,5
14097b48-7d7b-4033-b57f-c345376fb310;12757,5
ff83c0f6-a178-41c8-ad47-8fd64345798e;12521,6
e010282e-18fd-4652-8b0a-8a0cc06123f4;12296,662
59335fb4-79a9-40e9-8d11-3aa4d401dfc7;12220,6
a6e131d3-4310-4245-b4dd-39b6344146a8;11172
02f6f18e-ebfc-4e08-83ec-80ccbce03760;11056,5
e819ec31-6378-4f5c-8568-b26b915de8b5;11056,5
33c1cb24-db5f-497a-acff-a276f8266708;10949,288
adc72090-7616-4067-a250-049a242adca1;10850
327344d4-dd89-4555-8d0b-a392acee9855;10759,63
8f4a4c06-9928-4e18-9ee1-291d78b37a10;10535
6c6a6053-e032-41ca-8816-ade0361a6e3d;10206
975fee3b-7291-4cb8-b51b-6a8918a148a2;9331
3c9891fc-68e2-487c-af90-c78ec6f589c4;8680
